AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,SampleRate,Bitrate,BitsPerSample,Duration,Comment,Latitude,Longitude,GlobalScore,Time (PDT)
OFF1,AudioMoth 248D9B0260372005,OFF1/20210811132000.WAV,OFF1,20210811132000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 13:20:00 11/08/2021 (UTC) by AudioMoth 248D9B0260372005 at medium gain while battery was 4.6V and temperature was 21.4C.,32.8758,117.24739,0.0254554749,6.333333333333334
OTH1,AudioMoth 242A2604603736FD,OTH1/20210821163000.WAV,OTH1,20210821163000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 16:30:00 21/08/2021 (UTC) by AudioMoth 242A2604603736FD at medium gain while battery was 3.7V and temperature was 26.3C.,32.87637,117.24926,0.0240599214999999,9.5
OFF2,AudioMoth 242A260460373749,OFF2/20210815130000.WAV,OFF2,20210815130000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 13:00:00 15/08/2021 (UTC) by AudioMoth 242A260460373749 at medium gain while battery was 4.2V and temperature was 20.4C.,32.87634,117.24766,0.9884376526,6.0
OFF2,AudioMoth 242A260460373749,OFF2/20210818011000.WAV,OFF2,20210818011000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 01:10:00 18/08/2021 (UTC) by AudioMoth 242A260460373749 at medium gain while battery was 4.1V and temperature was 26.4C.,32.87634,117.24766,0.9444348216,18.166666666666668
OFF7,AudioMoth 24F31901603736FD,OFF7/20210819163000.WAV,OFF7,20210819163000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 16:30:00 19/08/2021 (UTC) by AudioMoth 24F31901603736FD at medium gain while battery was 4.0V and temperature was 29.8C.,32.875409999999995,117.24745,0.9912003279,9.5
OFF7,AudioMoth 24F31901603736FD,OFF7/20210822131000.WAV,OFF7,20210822131000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 13:10:00 22/08/2021 (UTC) by AudioMoth 24F31901603736FD at medium gain while battery was 3.8V and temperature was 20.4C.,32.875409999999995,117.24745,0.9934302568,6.166666666666666
OFF0,AudioMoth 242A260460372176,OFF0/20210816023000.WAV,OFF0,20210816023000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 02:30:00 16/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 4.2V and temperature was 23.9C.,32.87618,117.24717,0.9940857887,19.5
OFF0,AudioMoth 242A260460372176,OFF0/20210823133000.WAV,OFF0,20210823133000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 13:30:00 23/08/2021 (UTC) by AudioMoth 242A260460372176 at medium gain while battery was 3.6V and temperature was 21.2C.,32.87618,117.24717,0.6475340128,6.5
OFF4,AudioMoth 24E14403603736B1,OFF4/20210814145000.WAV,OFF4,20210814145000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 14:50:00 14/08/2021 (UTC) by AudioMoth 24E14403603736B1 at medium gain while battery was 4.2V and temperature was 23.9C.,32.87562,117.24959,0.8293188214,7.833333333333334
OFF1,AudioMoth 248D9B0260372005,OFF1/20210811162000.WAV,OFF1,20210811162000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 16:20:00 11/08/2021 (UTC) by AudioMoth 248D9B0260372005 at medium gain while battery was 4.6V and temperature was 29.4C.,32.8758,117.24739,0.9911040068,9.333333333333332
OFF2,AudioMoth 242A260460373749,OFF2/20210811141000.WAV,OFF2,20210811141000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 14:10:00 11/08/2021 (UTC) by AudioMoth 242A260460373749 at medium gain while battery was 4.6V and temperature was 23.4C.,32.87634,117.24766,0.6375664473,7.166666666666666
OFF3,AudioMoth 248D9B02603746FF,OFF3/20210819130000.WAV,OFF3,20210819130000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 13:00:00 19/08/2021 (UTC) by AudioMoth 248D9B02603746FF at medium gain while battery was 3.9V and temperature was 22.3C.,32.87603,117.24936,0.9917275906,6.0
OFF2,AudioMoth 242A260460373749,OFF2/20210824024000.WAV,OFF2,20210824024000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 02:40:00 24/08/2021 (UTC) by AudioMoth 242A260460373749 at medium gain while battery was 3.5V and temperature was 21.8C.,32.87634,117.24766,0.9928790331,19.666666666666664
OFF6,AudioMoth 24F31901603778F1,OFF6/20210824021000.WAV,OFF6,20210824021000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 02:10:00 24/08/2021 (UTC) by AudioMoth 24F31901603778F1 at medium gain while battery was 3.5V and temperature was 23.9C.,32.87501,117.24766,0.9917948246,19.166666666666664
OTH1,AudioMoth 242A2604603736FD,OTH1/20210822133000.WAV,OTH1,20210822133000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 13:30:00 22/08/2021 (UTC) by AudioMoth 242A2604603736FD at medium gain while battery was 3.6V and temperature was 20.6C.,32.87637,117.24926,0.1439764201999999,6.5
OFF6,AudioMoth 24F31901603778F1,OFF6/20210823135000.WAV,OFF6,20210823135000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 13:50:00 23/08/2021 (UTC) by AudioMoth 24F31901603778F1 at medium gain while battery was 3.5V and temperature was 21.8C.,32.87501,117.24766,0.9944726825,6.833333333333334
OFF1,AudioMoth 248D9B0260372005,OFF1/20210814131000.WAV,OFF1,20210814131000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 13:10:00 14/08/2021 (UTC) by AudioMoth 248D9B0260372005 at medium gain while battery was 4.3V and temperature was 19.8C.,32.8758,117.24739,0.9901323318,6.166666666666666
OTH0,AudioMoth 242A260460378286,OTH0/20210812150000.WAV,OTH0,20210812150000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 15:00:00 12/08/2021 (UTC) by AudioMoth 242A260460378286 at medium gain while battery was 4.4V and temperature was 24.7C.,32.87682,117.24833,0.2131881714,8.0
OFF3,AudioMoth 248D9B02603746FF,OFF3/20210820022000.WAV,OFF3,20210820022000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 02:20:00 20/08/2021 (UTC) by AudioMoth 248D9B02603746FF at medium gain while battery was 3.9V and temperature was 23.1C.,32.87603,117.24936,0.9868491292,19.333333333333336
OFF2,AudioMoth 242A260460373749,OFF2/20210814131000.WAV,OFF2,20210814131000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 13:10:00 14/08/2021 (UTC) by AudioMoth 242A260460373749 at medium gain while battery was 4.2V and temperature was 20.2C.,32.87634,117.24766,0.9943739176,6.166666666666666
OFF4,AudioMoth 24E14403603736B1,OFF4/20210821153000.WAV,OFF4,20210821153000.WAV,46080488,384000.0,6000.0,16,60.0,Recorded at 15:30:00 21/08/2021 (UTC) by AudioMoth 24E14403603736B1 at medium gain while battery was 3.8V and temperature was 20.4C.,32.87562,117.24959,0.9947234392,8.5
